input,thread,total_mem,free_mem,used_mem,buff_cache
2000,32,15690.9,6134.0,7421.9,3124.8
2000,32,15690.9,6130.4,7425.7,3124.8
3000,1,15690.9,6119.8,7436.2,3116.9
3000,1,15690.9,6160.0,7396.0,3116.8
3000,1,15690.9,6188.2,7367.7,3117.2
3000,1,15690.9,6185.9,7370.2,3117.5
3000,1,15690.9,6159.5,7396.4,3117.6
3000,2,15690.9,6161.4,7394.7,3117.0
3000,2,15690.9,6162.9,7393.2,3117.0
3000,2,15690.9,6165.5,7390.4,3117.2
3000,2,15690.9,6167.5,7388.5,3113.7
3000,2,15690.9,6169.7,7386.2,3113.8
3000,4,15690.9,6158.9,7396.8,3116.0
3000,4,15690.9,6157.8,7398.1,3115.5
3000,4,15690.9,6151.0,7404.9,3115.5
3000,4,15690.9,6172.2,7383.7,3115.5
3000,4,15690.9,6230.9,7325.0,3115.6
3000,8,15690.9,6264.0,7291.9,3113.5
3000,8,15690.9,6250.1,7305.8,3113.5
3000,8,15690.9,6235.2,7320.9,3113.3
3000,8,15690.9,6233.8,7321.9,3113.5
3000,8,15690.9,6239.1,7316.8,3113.4
3000,16,15690.9,6218.9,7337.0,3113.3
3000,16,15690.9,6216.5,7339.4,3113.3
3000,16,15690.9,6210.0,7346.1,3113.2
3000,16,15690.9,6225.9,7330.0,3113.4
3000,16,15690.9,6223.2,7333.1,3113.1
3000,32,15690.9,6216.5,7339.6,3113.3
3000,32,15690.9,6218.3,7337.8,3113.2
3000,32,15690.9,6184.2,7371.7,3113.3
3000,32,15690.9,6197.7,7358.2,3113.4
3000,32,15690.9,6198.2,7357.9,3113.2
4000,1,15690.9,6241.1,7314.8,3113.4
4000,1,15690.9,6279.7,7276.2,3111.5
4000,1,15690.9,6277.5,7278.4,3113.5
4000,1,15690.9,6269.8,7286.1,3113.4
4000,1,15690.9,6281.8,7274.0,3115.5
4000,2,15690.9,6263.4,7292.5,3113.6
4000,2,15690.9,6276.2,7279.5,3113.7
4000,2,15690.9,6260.8,7295.0,3113.6
4000,2,15690.9,6271.9,7283.9,3113.7
4000,2,15690.9,6258.2,7297.7,3113.6
4000,4,15690.9,6257.3,7298.6,3113.4
4000,4,15690.9,6271.5,7284.4,3113.5
4000,4,15690.9,6258.6,7297.2,3113.5
4000,4,15690.9,6247.7,7308.2,3113.5
4000,4,15690.9,6263.9,7292.2,3113.3
4000,8,15690.9,6259.2,7296.8,3113.2
4000,8,15690.9,6235.6,7320.2,3113.4
4000,8,15690.9,6233.6,7322.4,3113.3
4000,8,15690.9,6229.8,7326.2,3113.3
4000,8,15690.9,6221.6,7334.2,3113.5
4000,16,15690.9,6234.4,7321.6,3113.3
4000,16,15690.9,6230.9,7324.9,3114.2
4000,16,15690.9,6230.6,7325.2,3114.2
4000,16,15690.9,6230.3,7325.6,3114.1
4000,16,15690.9,6244.4,7311.5,3114.1
4000,32,15690.9,6245.6,7310.3,3113.9
4000,32,15690.9,6240.4,7315.4,3114.1
4000,32,15690.9,6217.7,7338.0,3114.1
4000,32,15690.9,6212.9,7342.7,3113.4
4000,32,15690.9,6227.8,7328.0,3113.4
5000,1,15690.9,6233.3,7322.5,3111.7
5000,1,15690.9,6241.8,7314.1,3111.9
