input,total_mem,free_mem,pid_mem
1,131680096,70727680,74660.0
1,131680096,70718560,82852.0
1,131680096,70707584,91044.0
1,131680096,70700804,99236.0
1,131680096,70688500,107684.0
1,131680096,70762812,18176.0
1,131680096,70720184,67312.0
1,131680096,70712588,77296.0
1,131680096,70709824,85232.0
1,131680096,70701868,93680.0
1,131680096,70697072,99528.0
1,131680096,70691232,107720.0
2,131680096,70766792,16640.0
2,131680096,70717948,74320.0
2,131680096,70687224,94064.0
2,131680096,70667632,114544.0
2,131680096,70747632,17408.0
2,131680096,70696536,72624.0
2,131680096,70674040,91472.0
2,131680096,70657600,108624.0
2,131680096,70721048,17152.0
2,131680096,70679008,70580.0
2,131680096,70663584,89164.0
2,131680096,70648380,106572.0
2,131680096,70729992,18944.0
2,131680096,70695536,67428.0
2,131680096,70673788,86372.0
2,131680096,70657576,103780.0
2,131680096,70731208,17408.0
2,131680096,70701564,72100.0
2,131680096,70690504,90376.0
2,131680096,70682892,107528.0
4,131680096,70760108,18176.0
4,131680096,70698336,86152.0
4,131680096,70740384,17920.0
4,131680096,70673932,85260.0
4,131680096,70717868,18944.0
4,131680096,70667880,86512.0
4,131680096,70726336,16896.0
4,131680096,70671804,84472.0
4,131680096,70703564,17408.0
4,131680096,70666408,84584.0
8,131680096,70726344,16896.0
8,131680096,70642596,113368.0
8,131680096,70719708,19200.0
8,131680096,70626232,109680.0
8,131680096,70707208,18432.0
8,131680096,70629128,111020.0
8,131680096,70695356,17152.0
8,131680096,70618520,117020.0
8,131680096,70710292,19456.0
8,131680096,70634184,110936.0
16,131680096,70717692,19200.0
16,131680096,70713760,17152.0
16,131680096,70727436,18688.0
16,131680096,70715808,19200.0
16,131680096,70699072,17920.0
32,131680096,70690168,19200.0
32,131680096,70664468,22528.0
32,131680096,70632976,22272.0
32,131680096,70636116,16128.0
32,131680096,70701252,17408.0
1,131680096,70714512,18688.0
1,131680096,70703024,64152.0
1,131680096,70701396,72344.0
1,131680096,70702876,79000.0
1,131680096,70713024,85100.0
1,131680096,70702096,92332.0
1,131680096,70702868,100780.0
1,131680096,70631908,107180.0
1,131680096,74609596,113580.0
1,131680096,74601216,120236.0
1,131680096,74697832,
1,131680096,74697520,17664.0
1,131680096,74670484,61168.0
1,131680096,74657668,69360.0
1,131680096,74653172,75504.0
1,131680096,74644628,81500.0
1,131680096,74643724,87900.0
1,131680096,74635072,94556.0
1,131680096,74628732,101212.0
1,131680096,74622712,107612.0
1,131680096,74623084,114268.0
1,131680096,74613652,120620.0
1,131680096,74685240,17152.0
1,131680096,74644100,63796.0
1,131680096,74620952,72500.0
1,131680096,74609144,78900.0
1,131680096,74580904,84876.0
1,131680096,74565812,90288.0
1,131680096,74542468,96944.0
1,131680096,74522668,103600.0
1,131680096,74472892,109744.0
1,131680096,74421320,115888.0
1,131680096,74369164,119916.0
1,131680096,74408312,19456.0
1,131680096,74353004,64624.0
1,131680096,74299428,71792.0
1,131680096,74234900,77168.0
1,131680096,74167492,82544.0
1,131680096,74074004,86936.0
1,131680096,73920360,93848.0
1,131680096,73702132,99480.0
1,131680096,73586248,105624.0
1,131680096,73478196,110744.0
1,131680096,73395348,114336.0
1,131680096,73304360,119712.0
1,131680096,73323224,18176.0
1,131680096,73208380,62316.0
1,131680096,73106864,71020.0
1,131680096,73027600,77164.0
1,131680096,72937628,83820.0
1,131680096,72859160,89564.0
1,131680096,72763648,95964.0
1,131680096,72676140,102364.0
1,131680096,72584172,109276.0
1,131680096,72490932,115676.0
1,131680096,72398116,121692.0
2,131680096,72454244,18688.0
2,131680096,72361524,64420.0
2,131680096,72309360,80544.0
2,131680096,72258532,93344.0
2,131680096,72187888,107168.0
2,131680096,72133616,122272.0
2,131680096,72174512,16640.0
2,131680096,72095176,67112.0
2,131680096,72016744,81448.0
2,131680096,71908624,95016.0
2,131680096,71790416,110376.0
2,131680096,71717544,123220.0
2,131680096,71730024,17408.0
2,131680096,71580188,65652.0
2,131680096,71477476,80756.0
2,131680096,71378336,92952.0
2,131680096,71257016,108312.0
2,131680096,71165776,122392.0
2,131680096,71146116,18432.0
2,131680096,71047448,66768.0
2,131680096,70991028,82640.0
2,131680096,70838344,95440.0
2,131680096,70729896,108752.0
2,131680096,70627196,119096.0
2,131680096,70589936,17408.0
2,131680096,70452912,66688.0
2,131680096,70402640,80568.0
2,131680096,70400348,93112.0
2,131680096,70396904,106168.0
2,131680096,70400620,118712.0
4,131680096,70502172,17920.0
4,131680096,70481052,78500.0
4,131680096,70443596,106196.0
4,131680096,70508412,17152.0
4,131680096,70469028,77360.0
4,131680096,70439168,105008.0
4,131680096,70506688,18176.0
4,131680096,70449084,79644.0
4,131680096,70420220,106704.0
4,131680096,70494220,15872.0
4,131680096,70450184,79856.0
4,131680096,70405816,108756.0
4,131680096,70497204,16640.0
4,131680096,70447920,76540.0
4,131680096,70419600,104212.0
8,131680096,70489724,19200.0
8,131680096,70409096,103156.0
8,131680096,70475204,17920.0
8,131680096,70410020,101288.0
8,131680096,70463752,20992.0
8,131680096,70390996,98844.0
8,131680096,70464028,16896.0
8,131680096,70392580,100032.0
8,131680096,70463152,16640.0
8,131680096,70386376,103424.0
16,131680096,70435632,17152.0
16,131680096,70320500,130384.0
16,131680096,70426208,18688.0
16,131680096,70328668,120672.0
16,131680096,70433432,17408.0
16,131680096,70350948,126120.0
16,131680096,70452444,17152.0
16,131680096,70350788,131808.0
16,131680096,70468164,18176.0
16,131680096,70368272,118460.0
32,131680096,70470956,16896.0
32,131680096,70444676,
32,131680096,70456808,16640.0
32,131680096,70358284,
32,131680096,70465956,16896.0
32,131680096,70445064,19200.0
32,131680096,70438728,
32,131680096,70443280,17664.0
32,131680096,70346784,
1,131680096,70466608,17408.0
1,131680096,70419548,62840.0
1,131680096,70418048,70008.0
1,131680096,70423100,75384.0
1,131680096,70418424,82808.0
1,131680096,70414888,85856.0
1,131680096,70414048,90976.0
1,131680096,70392788,96608.0
1,131680096,70400880,102240.0
1,131680096,70398588,107616.0
1,131680096,70412532,112312.0
1,131680096,70401016,117688.0
1,131680096,70402160,122552.0
1,131680096,70390296,127672.0
1,131680096,70387880,132536.0
1,131680096,70376128,137912.0
1,131680096,70485624,16896.0
1,131680096,70447904,61776.0
1,131680096,70442512,69968.0
1,131680096,70427120,75088.0
1,131680096,70422260,82256.0
1,131680096,70417232,85432.0
1,131680096,70419636,90808.0
1,131680096,70407236,95928.0
1,131680096,70411336,100792.0
1,131680096,70401492,106168.0
1,131680096,70406136,111544.0
1,131680096,70395428,115896.0
1,131680096,70391916,121272.0
1,131680096,70389408,126392.0
1,131680096,70378820,131768.0
1,131680096,70376428,136632.0
1,131680096,70472924,17664.0
1,131680096,70422000,59372.0
1,131680096,70408168,67180.0
1,131680096,70410712,72300.0
1,131680096,70403768,79468.0
1,131680096,70394072,85072.0
1,131680096,70414624,89680.0
1,131680096,70420660,95056.0
1,131680096,70413424,100432.0
1,131680096,70412856,105808.0
1,131680096,70441000,110076.0
1,131680096,70443004,115964.0
1,131680096,70436944,120572.0
1,131680096,70441320,125948.0
1,131680096,70429540,131324.0
1,131680096,70427768,136956.0
1,131680096,70532184,19456.0
1,131680096,70485356,61836.0
1,131680096,70477028,69260.0
1,131680096,70466520,74380.0
1,131680096,70471080,81548.0
1,131680096,70459656,86060.0
1,131680096,70458004,91180.0
1,131680096,70460024,96812.0
1,131680096,70457708,102188.0
1,131680096,70446460,107820.0
1,131680096,70444620,110952.0
1,131680096,70432632,116584.0
1,131680096,70431152,121448.0
1,131680096,70422332,126312.0
1,131680096,70418028,131176.0
1,131680096,70407360,136808.0
1,131680096,70515932,16384.0
1,131680096,70477760,64064.0
1,131680096,70470860,71232.0
1,131680096,70466120,77120.0
1,131680096,70462364,84288.0
1,131680096,70453420,89664.0
1,131680096,70452352,95040.0
1,131680096,70443908,100416.0
1,131680096,70444480,105024.0
1,131680096,70437152,110400.0
1,131680096,70432480,114024.0
1,131680096,70422436,118888.0
1,131680096,70426184,124008.0
1,131680096,70417476,129384.0
1,131680096,70409984,133992.0
1,131680096,70404468,139112.0
2,131680096,70508740,18176.0
2,131680096,70481072,65840.0
2,131680096,70468152,77616.0
2,131680096,70452460,87504.0
2,131680096,70443028,99536.0
2,131680096,70432304,110308.0
2,131680096,70412120,120292.0
2,131680096,70408560,131044.0
2,131680096,70505636,19456.0
2,131680096,70458580,65472.0
2,131680096,70457860,77248.0
2,131680096,70448676,87576.0
2,131680096,70452416,97816.0
2,131680096,70446980,108056.0
2,131680096,70423632,119320.0
2,131680096,70417520,131608.0
2,131680096,70509292,17408.0
2,131680096,70458908,69860.0
2,131680096,70455376,81892.0
2,131680096,70448252,92644.0
2,131680096,70421424,104676.0
2,131680096,70407744,116964.0
2,131680096,70401444,127460.0
2,131680096,70386852,137956.0
2,131680096,70492980,17408.0
2,131680096,70455996,62792.0
2,131680096,70443520,74312.0
2,131680096,70436348,85832.0
2,131680096,70428572,96584.0
2,131680096,70410048,106216.0
2,131680096,70413428,116456.0
2,131680096,70401680,127464.0
2,131680096,70512968,17664.0
2,131680096,70465428,65096.0
2,131680096,70450972,77384.0
2,131680096,70430036,88144.0
2,131680096,70420216,100432.0
2,131680096,70410020,113232.0
2,131680096,70407128,123472.0
2,131680096,70395752,134736.0
4,131680096,70515288,17664.0
4,131680096,70453648,72660.0
4,131680096,70438336,95472.0
4,131680096,70407516,116464.0
4,131680096,70383088,138736.0
4,131680096,70501260,21248.0
4,131680096,70456532,75276.0
4,131680096,70428428,98004.0
4,131680096,70392744,119252.0
4,131680096,70386152,141524.0
4,131680096,70488748,18688.0
4,131680096,70440992,77676.0
4,131680096,70417028,100972.0
4,131680096,70369600,122732.0
4,131680096,70377508,144748.0
