input,free_mem,pid_mem
4000,100598124,71844.0
4000,100598028,74148.0
4000,100590812,76452.0
4000,100590808,78500.0
4000,100591816,80804.0
4000,100583576,83108.0
4000,100584844,85156.0
4000,100583388,87460.0
4000,100582884,89764.0
4000,100574712,92068.0
4000,100575336,94116.0
4000,100575592,96420.0
4000,100567808,98724.0
4000,100568884,101028.0
4000,100639048,14592.0
4000,100618112,58172.0
4000,100618896,60476.0
4000,100619148,62780.0
4000,100619020,64828.0
4000,100610964,67132.0
4000,100611728,69436.0
4000,100611992,71740.0
4000,100611176,73788.0
4000,100602868,76092.0
4000,100603704,78396.0
4000,100607792,80700.0
4000,100599912,82748.0
4000,100599708,85052.0
4000,100599988,87356.0
4000,100600492,89660.0
4000,100592816,91708.0
4000,100593172,94012.0
4000,100593216,96316.0
4000,100585596,98620.0
4000,100585932,100668.0
4000,100659944,14336.0
4000,100623676,58376.0
4000,100624204,60680.0
4000,100621176,62984.0
4000,100617464,65032.0
4000,100617716,67336.0
4000,100609768,69640.0
4000,100609772,71944.0
4000,100610304,73992.0
4000,100601484,76296.0
4000,100601736,78600.0
4000,100601996,80904.0
4000,100601996,82952.0
4000,100593896,85256.0
4000,100594056,87560.0
4000,100594060,89864.0
4000,100586284,91912.0
4000,100586192,94216.0
4000,100586508,96520.0
4000,100586564,98824.0
4000,100579116,101128.0
5000,100659720,15616.0
5000,100623936,62304.0
5000,100624284,65376.0
5000,100616972,67168.0
5000,100617460,68704.0
5000,100617860,71008.0
5000,100619460,69952.0
5000,100620216,72000.0
5000,100613420,74048.0
5000,100614236,75328.0
5000,100614232,77376.0
5000,100614308,79680.0
5000,100606876,80704.0
5000,100606768,83008.0
5000,100607652,85056.0
5000,100608040,86336.0
5000,100600960,88384.0
5000,100601464,90176.0
5000,100601540,91712.0
5000,100601356,94016.0
5000,100601516,95552.0
5000,100594072,97344.0
5000,100593572,99392.0
5000,100593324,100928.0
5000,100593324,102720.0
5000,100585096,105024.0
5000,100585612,106048.0
5000,100586136,108352.0
5000,100585884,110656.0
5000,100585872,111680.0
5000,100577708,113984.0
5000,100668780,17408.0
5000,100645868,58456.0
5000,100640668,62296.0
5000,100632948,66392.0
5000,100632976,70232.0
5000,100624912,74072.0
5000,100625428,78168.0
5000,100617476,82008.0
5000,100617980,86104.0
5000,100610280,89688.0
5000,100610472,93784.0
5000,100601908,97880.0
5000,100602372,101720.0
5000,100602564,105560.0
5000,100594516,109656.0
5000,100594248,113496.0
5000,100586240,117336.0
5000,100676680,15616.0
5000,100635232,62540.0
5000,100634096,66380.0
5000,100633604,70476.0
5000,100625520,74316.0
5000,100625648,78156.0
5000,100617424,80620.0
5000,100617388,84460.0
5000,100608868,88556.0
5000,100608944,92140.0
5000,100600740,95980.0
5000,100601300,99820.0
5000,100593312,103916.0
5000,100593204,107756.0
5000,100585260,111340.0
5000,100585520,115180.0
