input,thread,free_mem,pid_mem
7000,1,100339964,57856.0
7000,1,100334324,65316.0
7000,1,100339228,68900.0
7000,1,100343420,72228.0
7000,1,100339432,76836.0
7000,1,100333616,82024.0
7000,1,100329480,87912.0
7000,1,100332180,91496.0
7000,1,100324888,95592.0
7000,1,100327416,97308.0
7000,1,100328992,100892.0
7000,1,100321016,104988.0
7000,1,100321844,108828.0
7000,1,100321104,112668.0
7000,1,100314744,115328.0
7000,1,100318688,119936.0
7000,1,100311232,123264.0
7000,1,100311064,126592.0
7000,1,100312324,130944.0
7000,1,100304368,134784.0
7000,1,100304620,138112.0
7000,1,100295480,142464.0
7000,1,100295500,146304.0
7000,1,100294748,150144.0
7000,1,100286968,153728.0
7000,1,100285256,157824.0
7000,1,100285020,158848.0
7000,1,100285544,159616.0
7000,1,100417788,14848.0
7000,1,100390948,58864.0
7000,1,100387728,67044.0
7000,1,100382184,70628.0
7000,1,100383944,74468.0
7000,1,100380416,78308.0
7000,1,100376904,84196.0
7000,1,100369884,89828.0
7000,1,100361676,93412.0
7000,1,100357924,98020.0
7000,1,100355100,97644.0
7000,1,100354500,101228.0
7000,1,100353492,105324.0
7000,1,100345936,109164.0
7000,1,100344928,113004.0
7000,1,100337176,115468.0
7000,1,100337744,119820.0
7000,1,100338036,123148.0
7000,1,100329236,126732.0
7000,1,100328312,131084.0
7000,1,100328324,134412.0
7000,1,100323188,137996.0
7000,1,100323204,142092.0
7000,1,100315408,145932.0
7000,1,100315668,149772.0
7000,1,100317564,153356.0
7000,1,100301200,157964.0
7000,1,100302872,159244.0
7000,1,100305256,159500.0
7000,1,100436832,14336.0
7000,1,100405580,58832.0
7000,1,100403380,69212.0
7000,1,100402476,72796.0
7000,1,100398536,76124.0
7000,1,100395048,80220.0
7000,1,100392276,81580.0
7000,1,100382780,87468.0
7000,1,100383508,91052.0
7000,1,100382752,95404.0
7000,1,100374440,97568.0
7000,1,100373680,101408.0
7000,1,100373296,105504.0
7000,1,100367508,109088.0
7000,1,100365876,113184.0
7000,1,100358684,116768.0
7000,1,100358752,120864.0
7000,1,100349196,124704.0
7000,1,100349792,128032.0
7000,1,100349556,132640.0
7000,1,100341628,136224.0
7000,1,100341156,139552.0
7000,1,100331468,143904.0
7000,1,100331024,147488.0
7000,1,100322792,151328.0
7000,1,100322928,155168.0
7000,1,100322184,159520.0
7000,1,100321720,162080.0
7000,1,100322320,163104.0
7000,1,100458644,13056.0
7000,1,100429572,57492.0
7000,1,100424360,64112.0
7000,1,100420968,67952.0
7000,1,100415680,71280.0
7000,1,100416164,75632.0
7000,1,100406412,82288.0
7000,1,100404672,87408.0
7000,1,100395872,91248.0
7000,1,100396600,95600.0
7000,1,100397428,97892.0
7000,1,100389908,101220.0
7000,1,100388352,105572.0
7000,1,100388880,109156.0
7000,1,100379912,113252.0
7000,1,100381180,115884.0
7000,1,100372376,120492.0
7000,1,100371516,123820.0
7000,1,100370616,127148.0
7000,1,100360536,131756.0
7000,1,100360576,135084.0
7000,1,100359596,138412.0
7000,1,100348700,143020.0
7000,1,100348256,146604.0
7000,1,100346136,150700.0
7000,1,100337332,154284.0
7000,1,100335840,158636.0
7000,1,100334764,161196.0
7000,1,100334704,161708.0
7000,1,100473472,16640.0
7000,1,100436736,56948.0
7000,1,100430000,68112.0
7000,1,100424904,71696.0
7000,1,100421156,75024.0
7000,1,100416132,79376.0
7000,1,100406352,81876.0
7000,1,100401936,87764.0
7000,1,100401952,91348.0
7000,1,100393364,95700.0
7000,1,100393820,97668.0
7000,1,100385372,101252.0
7000,1,100384112,105860.0
7000,1,100384580,109444.0
7000,1,100375344,113284.0
7000,1,100375288,116020.0
7000,1,100375276,119860.0
7000,1,100366488,123956.0
7000,1,100366388,127540.0
7000,1,100359160,131892.0
7000,1,100357652,135220.0
7000,1,100355908,138548.0
7000,1,100345940,143156.0
7000,1,100345164,146740.0
7000,1,100343568,150836.0
7000,1,100335648,154420.0
7000,1,100335556,158516.0
7000,1,100334576,161844.0
7000,1,100330388,162612.0
7000,2,100462056,15360.0
7000,2,100414460,67292.0
7000,2,100404700,77660.0
7000,2,100397216,84316.0
7000,2,100390524,91660.0
7000,2,100388388,99084.0
7000,2,100376808,102804.0
7000,2,100366572,110996.0
7000,2,100359792,117908.0
7000,2,100341736,124564.0
7000,2,100338880,131220.0
7000,2,100323136,138388.0
7000,2,100322884,145044.0
7000,2,100315328,151700.0
7000,2,100302480,161684.0
7000,2,100300968,165524.0
7000,2,100441612,15616.0
7000,2,100407880,64664.0
7000,2,100397864,74136.0
7000,2,100390536,81816.0
7000,2,100375792,89936.0
7000,2,100364788,99408.0
7000,2,100365052,105600.0
7000,2,100363720,113024.0
7000,2,100352884,121472.0
7000,2,100349236,128896.0
7000,2,100349224,135900.0
7000,2,100332016,144092.0
7000,2,100331156,151004.0
7000,2,100330048,158684.0
7000,2,100319208,165084.0
7000,2,100454648,14848.0
7000,2,100419448,63304.0
7000,2,100407376,73524.0
7000,2,100398056,81204.0
7000,2,100387516,88208.0
7000,2,100383852,96912.0
7000,2,100375204,104560.0
7000,2,100373188,111728.0
7000,2,100362356,121712.0
7000,2,100353016,129392.0
7000,2,100343004,136044.0
7000,2,100338536,143980.0
7000,2,100320808,150892.0
7000,2,100320820,159084.0
7000,2,100317544,165484.0
7000,2,100457248,15360.0
7000,2,100425616,61564.0
7000,2,100412808,73168.0
7000,2,100410552,80592.0
7000,2,100399008,88528.0
7000,2,100402044,97744.0
7000,2,100389080,104336.0
7000,2,100377268,111760.0
7000,2,100375280,121488.0
7000,2,100362236,129424.0
7000,2,100350928,136336.0
7000,2,100348172,144016.0
7000,2,100344432,152464.0
7000,2,100336188,160144.0
7000,2,100331688,166032.0
7000,2,100563528,13568.0
7000,2,100515288,84780.0
7000,2,100508272,92268.0
7000,2,100500764,99436.0
7000,2,100483588,108140.0
7000,2,100492852,115820.0
7000,2,100492560,120052.0
7000,2,100481500,127476.0
7000,2,100480084,135156.0
7000,2,100475696,143092.0
7000,2,100467356,147868.0
7000,2,100460448,155292.0
7000,2,100444828,162716.0
7000,2,100443980,169884.0
7000,2,100434452,178332.0
7000,2,100433696,180124.0
7000,4,100591852,13312.0
7000,4,100546532,72936.0
7000,4,100521260,89832.0
7000,4,100503384,105960.0
7000,4,100458528,121832.0
7000,4,100449444,137448.0
7000,4,100448848,150076.0
7000,4,100427436,164156.0
7000,4,100567688,16128.0
7000,4,100523716,72300.0
7000,4,100506836,89888.0
7000,4,100488568,105504.0
7000,4,100472204,122656.0
7000,4,100454116,138272.0
7000,4,100435104,151172.0
7000,4,100432760,162692.0
7000,4,100560368,13824.0
7000,4,100520212,79216.0
7000,4,100505688,96112.0
7000,4,100488472,110960.0
7000,4,100465532,125808.0
7000,4,100434032,142704.0
7000,4,100433128,156136.0
7000,4,100424420,168936.0
7000,4,100560116,14336.0
7000,4,100517780,69668.0
7000,4,100497564,87788.0
7000,4,100480144,103404.0
7000,4,100453560,119736.0
7000,4,100438428,135864.0
7000,4,100419068,148904.0
7000,4,100415976,160936.0
7000,4,100543536,15616.0
7000,4,100493392,78112.0
7000,4,100468904,95008.0
7000,4,100461888,111648.0
7000,4,100433084,128800.0
7000,4,100423768,144672.0
7000,4,100400612,155440.0
7000,4,100389244,166960.0
7000,8,100523248,14848.0
7000,8,100481168,83252.0
7000,8,100458452,114124.0
7000,8,100429356,143052.0
7000,8,100403832,156108.0
7000,8,100532116,11776.0
7000,8,100492604,84672.0
7000,8,100447556,118720.0
7000,8,100405656,152768.0
7000,8,100527680,12032.0
7000,8,100479596,89072.0
7000,8,100451316,122608.0
7000,8,100416096,152816.0
7000,8,100397988,165872.0
