input,thread,task_clock_msec,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec,ipc
5000,1,4694.03,769,10,15269,9007845890,17616180596,509721090,35206898,4.138363483,4.56102,0.134705,1.9556485325261266
5000,2,5610.65,1052,18,17815,10043660431,18459372668,684007621,58214777,2.417631604,5.501063,0.111223,1.8379128600390253
5000,2,6419.28,1041,15,18226,11502346227,18557474981,695746841,57763348,2.825554304,6.303415,0.11797,1.6133643184413249
5000,2,5210.09,1102,15,14647,9134718115,17202116788,455099503,21759360,2.374800645,5.095672,0.116946,1.8831579224927184
5000,2,5808.74,1091,14,17096,10245836626,18534681941,684873088,59291016,2.507688937,5.683201,0.128094,1.8089964360710273
5000,2,5098.34,1072,12,13312,9009421003,17065047654,420195313,19093513,2.39019117,4.989788,0.110884,1.894133668336467
5000,4,8289.12,2655,34,17310,12019835766,18011630337,589643139,39976073,1.879109925,8.09734,0.19864,1.4984922163369931
5000,4,7210.81,2670,27,16345,10959815089,17966403096,574678852,41933048,1.639829584,7.043124,0.172125,1.63929801279515
5000,4,7799.29,2290,44,18452,12293760349,18102258413,605466822,47452747,1.816511296,7.639023,0.163828,1.4724752963378267
5000,4,9004.78,2851,29,17749,13266870199,18183216165,621820069,49732953,1.945875982,8.807471,0.201124,1.3705731564608639
5000,4,6938.67,2407,45,14262,10629268469,17626134543,518344260,40189245,1.635307432,6.789287,0.152455,1.6582641217884548
5000,8,8086.27,3883,30,14738,14788394500,17979928828,588739067,48268467,1.073715702,7.960129,0.130051,1.215813442628948
5000,8,8209.39,3677,34,15252,15478194888,18138379323,632214014,53950068,1.088864832,8.082031,0.131,1.1718665809707822
5000,8,10532.8,3825,20,19542,19274540922,18964461669,761343783,61922761,1.353843363,10.388984,0.148613,0.9839124960612642
5000,8,8546.87,3668,32,18189,15599438210,18189297572,689780873,57089396,1.109522658,8.400849,0.150086,1.1660226046050668
5000,8,7595.89,4492,26,15297,13665025995,17720132231,553784505,40869431,1.003947542,7.441686,0.158355,1.2967507151090494
5000,16,7761.65,6683,49,13393,14715783548,17266800322,462749648,16489522,0.668949306,7.592155,0.180789,1.1733524256917127
5000,16,7892.99,7063,63,13664,15155135482,17639808761,493099894,20266711,0.672662164,7.745878,0.152351,1.1639492620802425
5000,16,9716.84,6737,32,19947,18822407534,18117974810,674093751,33657036,0.760868353,9.501593,0.225108,0.9625747810035702
5000,16,7940.86,6920,46,13803,15292286073,17709788634,507049508,21032637,0.676386068,7.7796,0.168207,1.1580864070590684
5000,16,8317.3,6754,46,13324,15791418206,17359335231,479941997,20896734,0.698174361,8.161444,0.162451,1.0992891838178451
5000,32,12266.68,12832,379,14979,22383132026,17359046625,478093665,15569964,0.67938472,12.009656,0.261646,0.7755414481242358
5000,32,11892.86,11471,571,15986,22408685715,17837715621,532633829,19195571,0.65834527,11.613948,0.279345,0.7960179301840862
5000,32,13927.5,12454,511,14898,27265538099,17579926167,517240700,14371930,0.659758199,13.64263,0.267541,0.6447672553964657
5000,32,12804.25,10421,597,14918,24926618824,17643465907,532532869,15484864,0.629664368,12.525847,0.26625,0.7078162518380716
5000,32,12461.2,11107,661,15326,23290801468,17914690693,540759373,19964482,0.699472748,12.156117,0.299691,0.7691745051201259
5000,64,14943.0,20298,5539,18757,29350668240,18183860829,590702351,17045771,0.707523505,14.510218,0.39565,0.6195382224455956
5000,64,16209.69,18298,5287,19941,31946763818,18180482917,630176926,18704103,0.715841851,15.706253,0.472203,0.5690868414896045
5000,64,15439.24,19785,5492,18613,30342579053,18166017095,586895366,16659792,0.702428456,15.007125,0.399211,0.5986971991823453
5000,64,15996.77,17299,4771,19024,31375583942,18174694013,621864735,18454840,0.705627705,15.587504,0.381333,0.5792623348970083
