05-18 19:51:20,0,2048,2,49871944,15872
05-18 19:51:21,1,2048,2,49880464,18432
05-18 19:51:22,2,2048,2,49879528,16384
05-18 19:51:23,3,2048,2,49861696,20224
05-18 19:51:24,4,2048,2,49868392,16640
05-18 19:51:25,0,2048,4,49864660,18432
05-18 19:51:26,1,2048,4,49851008,17152
05-18 19:51:27,2,2048,4,49834348,16896
05-18 19:51:28,3,2048,4,49835420,17152
05-18 19:51:29,4,2048,4,49842008,16640
05-18 19:51:30,0,2048,8,49845068,17920
05-18 19:51:31,1,2048,8,49849532,16384
05-18 19:51:32,2,2048,8,49831660,16896
05-18 19:51:33,3,2048,8,49840024,14080
05-18 19:51:34,4,2048,8,49829532,17408
05-18 19:51:35,0,2048,16,49832064,14336
05-18 19:51:36,1,2048,16,49844712,18176
05-18 19:51:37,2,2048,16,49826848,18176
05-18 19:51:38,3,2048,16,49828188,16896
05-18 19:51:39,4,2048,16,49833360,16896
05-18 19:51:41,0,2048,32,49849592,17664
05-18 19:51:42,1,2048,32,49846104,15360
05-18 19:51:43,2,2048,32,49858964,16896
05-18 19:51:44,3,2048,32,49865960,18432
05-18 19:51:45,4,2048,32,49863768,19200
05-18 19:51:46,0,4096,1,49871236,15872
05-18 19:51:47,0,4096,1,49846732,48128
05-18 19:51:48,1,4096,1,49847508,16896
05-18 19:51:49,1,4096,1,49837372,47360
05-18 19:51:50,2,4096,1,49856444,16896
05-18 19:51:51,2,4096,1,49824508,48640
05-18 19:51:52,3,4096,1,49847164,16896
05-18 19:51:53,3,4096,1,49823940,48128
05-18 19:51:54,4,4096,1,49851656,16896
05-18 19:51:55,4,4096,1,49830672,48384
05-18 19:51:56,0,4096,2,49867888,16896
05-18 19:51:57,1,4096,2,49866476,15616
05-18 19:51:58,2,4096,2,49870276,17152
05-18 19:51:59,3,4096,2,49864260,17408
05-18 19:52:00,4,4096,2,49856248,16896
05-18 19:52:01,0,4096,4,49870020,16128
05-18 19:52:02,1,4096,4,49844752,17664
05-18 19:52:03,2,4096,4,49868596,17920
05-18 19:52:04,3,4096,4,49876412,19456
05-18 19:52:05,4,4096,4,49874872,17920
05-18 19:52:06,0,4096,8,49877760,15616
05-18 19:52:07,1,4096,8,49879204,16896
05-18 19:52:08,2,4096,8,49883020,20224
05-18 19:52:09,3,4096,8,49888460,16640
05-18 19:52:10,4,4096,8,49861428,20480
05-18 19:52:11,0,4096,16,49857156,21248
05-18 19:52:12,1,4096,16,49855548,17920
05-18 19:52:13,2,4096,16,49857988,16640
05-18 19:52:14,3,4096,16,49839840,16896
05-18 19:52:15,4,4096,16,49838412,20480
05-18 19:52:16,0,4096,32,49857732,17408
05-18 19:52:17,1,4096,32,49836016,15616
05-18 19:52:18,2,4096,32,49810856,19200
05-18 19:52:19,3,4096,32,49834544,17664
05-18 19:52:20,4,4096,32,49819264,16384
05-18 19:52:21,0,8192,1,49829404,16896
05-18 19:52:23,0,8192,1,49809504,54784
05-18 19:52:24,0,8192,1,49813944,54784
05-18 19:52:25,0,8192,1,49815936,54784
05-18 19:52:26,0,8192,1,49821036,54784
05-18 19:52:27,0,8192,1,49826328,54784
05-18 19:52:28,1,8192,1,49865084,16896
05-18 19:52:29,1,8192,1,49846380,54784
05-18 19:52:30,1,8192,1,49847148,54784
05-18 19:52:31,1,8192,1,49848880,54784
05-18 19:52:32,1,8192,1,49849808,54784
05-18 19:52:33,1,8192,1,49850684,54784
05-18 19:52:34,2,8192,1,49881104,19200
05-18 19:52:35,2,8192,1,49844672,54784
05-18 19:52:36,2,8192,1,49846920,54784
05-18 19:52:37,2,8192,1,49848492,54784
05-18 19:52:38,2,8192,1,49850004,54784
05-18 19:52:39,2,8192,1,49850220,54784
05-18 19:52:40,3,8192,1,49879600,16896
05-18 19:52:41,3,8192,1,49853300,54272
05-18 19:52:42,3,8192,1,49854936,54272
05-18 19:52:43,3,8192,1,49854624,54272
05-18 19:52:44,3,8192,1,49856188,54272
05-18 19:52:45,3,8192,1,49856128,54272
05-18 19:52:46,4,8192,1,49888728,16640
05-18 19:52:47,4,8192,1,49853716,54528
05-18 19:52:48,4,8192,1,49854724,54528
05-18 19:52:49,4,8192,1,49853004,54528
05-18 19:52:50,4,8192,1,49853236,54528
05-18 19:52:51,4,8192,1,49852856,54528
05-18 19:52:52,0,8192,2,49881388,16896
05-18 19:52:53,0,8192,2,49855236,54528
05-18 19:52:54,0,8192,2,49852780,54528
05-18 19:52:55,0,8192,2,49854344,
05-18 19:52:56,1,8192,2,49892792,17408
05-18 19:52:57,1,8192,2,49860328,54784
05-18 19:52:58,1,8192,2,49861856,55040
05-18 19:52:59,1,8192,2,49886116,
05-18 19:53:00,2,8192,2,49890636,16640
05-18 19:53:01,2,8192,2,49849264,55040
05-18 19:53:02,2,8192,2,49849012,55296
05-18 19:53:03,2,8192,2,49850768,
05-18 19:53:04,3,8192,2,49879152,18432
05-18 19:53:05,3,8192,2,49855948,55296
05-18 19:53:06,3,8192,2,49856796,55296
05-18 19:53:07,3,8192,2,49892412,
05-18 19:53:08,4,8192,2,49891080,16896
05-18 19:53:09,4,8192,2,49860248,55296
05-18 19:53:10,4,8192,2,49860756,55552
05-18 19:53:11,4,8192,2,49891768,
05-18 19:53:12,0,8192,4,49893788,16896
05-18 19:53:13,0,8192,4,49863664,55040
05-18 19:53:14,1,8192,4,49906812,16640
05-18 19:53:15,1,8192,4,49875536,55296
05-18 19:53:16,1,8192,4,49905020,
05-18 19:53:17,2,8192,4,49904304,16384
05-18 19:53:19,2,8192,4,49883136,54272
05-18 19:53:20,3,8192,4,49898852,16384
05-18 19:53:21,3,8192,4,49866132,55040
05-18 19:53:22,4,8192,4,49892608,15616
05-18 19:53:23,4,8192,4,49869616,55552
05-18 19:53:24,0,8192,8,49898380,18432
05-18 19:53:25,1,8192,8,49879784,15872
05-18 19:53:26,1,8192,8,49836484,54268
05-18 19:53:27,2,8192,8,49867636,16384
05-18 19:53:28,2,8192,8,49843944,55552
05-18 19:53:29,3,8192,8,49846068,17152
05-18 19:53:30,4,8192,8,49845904,16896
05-18 19:53:31,0,8192,16,49843512,17408
05-18 19:53:32,1,8192,16,49840112,16896
05-18 19:53:33,2,8192,16,49848036,18432
05-18 19:53:34,3,8192,16,49838388,17152
05-18 19:53:35,4,8192,16,49867108,17408
05-18 19:53:36,0,8192,32,49834152,19712
05-18 19:53:37,1,8192,32,49867848,16896
05-18 19:53:38,2,8192,32,49851324,18432
