input,free_mem,pid_mem
16384,56813540,44544
16384,56812976,44544
16384,56814328,44544
16384,56814544,44544
16384,56815432,44544
16384,56815552,44544
16384,56815200,44544
16384,56815684,44544
16384,56815028,44544
16384,56814860,44544
16384,56815924,44544
16384,56816180,44544
16384,56816760,44544
16384,56816852,44544
16384,56816852,44544
16384,56817276,44544
16384,56817288,44544
16384,56817380,44544
16384,56816704,44544
16384,56817268,44544
16384,56817108,44544
16384,56816864,44544
16384,56816744,44544
16384,56817056,44544
16384,56817560,44544
16384,56817580,44544
16384,56817684,44544
16384,56817736,44544
16384,56822072,44544
16384,56823820,44544
16384,56823316,44544
16384,56823640,44544
16384,56824096,44544
16384,56837380,17152
16384,56820384,45056
16384,56820204,45056
16384,56819700,45056
16384,56819916,45056
16384,56820248,45056
16384,56819016,45056
16384,56819656,45056
16384,56819908,45056
16384,56820160,45056
16384,56820176,45056
16384,56820420,45056
16384,56820496,45056
16384,56820392,45056
16384,56820328,45056
16384,56820484,45056
16384,56820260,45056
16384,56820160,45056
16384,56820160,45056
16384,56820564,45056
16384,56820756,45056
16384,56820872,45056
16384,56821204,45056
16384,56820516,45056
16384,56820556,45056
16384,56820868,45056
16384,56820540,45056
16384,56820040,45056
16384,56819740,45056
16384,56815960,45056
16384,56815656,45056
16384,56815300,45056
16384,56815568,45056
16384,56815440,45056
16384,56815440,45056
16384,56815448,45056
16384,56815452,45056
16384,56816540,45056
16384,56816556,45056
16384,56816228,45056
16384,56816364,45056
16384,56816736,45056
16384,56822180,45056
16384,56822512,45056
16384,56822552,45056
