input,thread,free_mem,pid_mem
8192,2,56686560,16128.0
8192,2,56662956,55040.0
8192,2,56665748,55296.0
8192,2,56698464,
8192,2,56705832,16128.0
8192,2,56658720,54528.0
8192,2,56656296,54784.0
8192,2,56657316,
8192,4,56683436,13056.0
8192,4,56660412,55040.0
8192,4,56691296,16640.0
8192,4,56666880,55040.0
8192,4,56696176,15360.0
8192,4,56664028,54784.0
8192,4,56693372,16384.0
8192,4,56660852,55040.0
8192,4,56671224,13056.0
8192,4,56646712,55040.0
8192,8,56689440,14336.0
8192,8,56655708,55808.0
8192,8,56687472,14336.0
8192,8,56684704,15872.0
8192,8,56684964,16896.0
8192,8,56692428,
8192,8,56701400,16896.0
8192,16,56706388,16384.0
8192,16,56703564,15872.0
8192,16,56686128,15360.0
8192,16,56688984,14592.0
8192,16,56687320,12544.0
8192,32,56661636,14848.0
8192,32,56646608,14336.0
8192,32,56658996,13312.0
8192,32,56673668,14848.0
8192,32,56671800,16384.0
16384,1,56654444,16128.0
16384,1,56603072,78848.0
16384,1,56608544,78848.0
16384,1,56614712,79104.0
16384,1,56618024,79104.0
16384,1,56620332,79104.0
16384,1,56624536,79104.0
16384,1,56626432,79104.0
16384,1,56629884,79104.0
16384,1,56631212,79104.0
16384,1,56634812,79104.0
16384,1,56634708,79104.0
16384,1,56636860,79104.0
16384,1,56636612,79104.0
16384,1,56638244,79104.0
16384,1,56637960,79104.0
16384,1,56638936,79104.0
16384,1,56638260,79104.0
16384,1,56639552,79104.0
16384,1,56639880,79104.0
16384,1,56641224,79104.0
16384,1,56641048,79104.0
16384,1,56643804,79104.0
16384,1,56703296,16640.0
16384,1,56654284,79872.0
16384,1,56654032,79872.0
16384,1,56655220,79872.0
16384,1,56655220,79872.0
16384,1,56655156,79872.0
16384,1,56657792,79872.0
16384,1,56659280,79872.0
16384,1,56660124,79872.0
16384,1,56661144,79872.0
16384,1,56661280,79872.0
16384,1,56661532,79872.0
16384,1,56663308,79872.0
16384,1,56664440,79872.0
16384,1,56664600,79872.0
16384,1,56665012,79872.0
16384,1,56665292,79872.0
16384,1,56665316,79872.0
16384,1,56665136,79872.0
16384,1,56665556,79872.0
16384,1,56665228,79872.0
16384,1,56664732,79872.0
16384,1,56664572,79872.0
16384,1,56724660,13056.0
16384,1,56666180,79616.0
16384,1,56666180,79616.0
16384,1,56666932,79616.0
16384,1,56667560,79616.0
16384,1,56668292,79616.0
16384,1,56668820,79616.0
16384,1,56669088,79616.0
16384,1,56670148,79616.0
16384,1,56670056,79616.0
16384,1,56669856,79616.0
16384,1,56670000,79616.0
16384,1,56670344,79616.0
16384,1,56670592,79616.0
16384,1,56671040,79616.0
16384,1,56670840,79616.0
16384,1,56671344,79616.0
16384,1,56671096,79616.0
16384,1,56672272,79616.0
16384,1,56672680,79616.0
16384,1,56672052,79616.0
16384,1,56671872,79616.0
16384,1,56671932,79616.0
16384,1,56733972,13824.0
16384,1,56669036,79360.0
16384,1,56669104,79360.0
16384,1,56669432,79360.0
16384,1,56670708,79360.0
16384,1,56672104,79360.0
16384,1,56672640,79360.0
16384,1,56672896,79360.0
16384,1,56673312,79360.0
16384,1,56672808,79360.0
16384,1,56673488,79360.0
16384,1,56673744,79360.0
16384,1,56676132,79360.0
16384,1,56678040,79360.0
16384,1,56679156,79360.0
16384,1,56684028,79360.0
16384,1,56685356,79360.0
16384,1,56686512,79360.0
16384,1,56686916,79360.0
16384,1,56687476,79360.0
16384,1,56688264,79360.0
16384,1,56688664,79360.0
16384,1,56689232,79360.0
16384,1,56688660,79360.0
16384,1,56749832,14848.0
16384,1,56693112,79616.0
16384,1,56692904,79616.0
16384,1,56691660,79616.0
16384,1,56691528,79616.0
16384,1,56691816,79616.0
16384,1,56690812,79616.0
16384,1,56691216,79616.0
16384,1,56691304,79616.0
16384,1,56691780,79616.0
16384,1,56691252,79616.0
16384,1,56690804,79616.0
16384,1,56690588,79616.0
16384,1,56690644,79616.0
16384,1,56690144,79616.0
16384,1,56689388,79616.0
16384,1,56689400,79616.0
16384,1,56690048,79616.0
16384,1,56690212,79616.0
16384,1,56690048,79616.0
16384,1,56689292,79616.0
16384,1,56689128,79616.0
16384,1,56689576,79616.0
16384,2,56747836,15872.0
