05-18 19:31:57,3,8192,49865652,76200
05-18 19:31:58,4,8192,49918024,16896
05-18 19:31:59,4,8192,49885072,54484
05-18 19:32:00,4,8192,49882052,56276
05-18 19:32:01,4,8192,49883396,58068
05-18 19:32:02,4,8192,49876380,59348
05-18 19:32:03,4,8192,49877028,60116
05-18 19:32:04,4,8192,49877040,61140
05-18 19:32:05,4,8192,49879016,62164
05-18 19:32:06,4,8192,49879052,63188
05-18 19:32:07,4,8192,49880332,64212
05-18 19:32:08,4,8192,49879828,65236
05-18 19:32:09,4,8192,49880948,66260
05-18 19:32:10,4,8192,49878684,67540
05-18 19:32:11,4,8192,49867512,72000
05-18 19:32:12,4,8192,49870756,73536
05-18 19:32:13,4,8192,49862256,76608
05-18 19:32:14,0,16384,49911436,16896
05-18 19:32:15,0,16384,49870860,58368
05-18 19:32:16,0,16384,49869600,63232
05-18 19:32:17,0,16384,49860620,67584
05-18 19:32:18,0,16384,49862296,70144
05-18 19:32:19,0,16384,49862212,71340
05-18 19:32:21,0,16384,49856104,72876
05-18 19:32:22,0,16384,49858340,74668
05-18 19:32:23,0,16384,49862080,76204
05-18 19:32:24,0,16384,49862208,77740
05-18 19:32:25,0,16384,49862252,79276
05-18 19:32:26,0,16384,49852664,80812
05-18 19:32:27,0,16384,49853164,82092
05-18 19:32:28,0,16384,49857752,83372
05-18 19:32:29,0,16384,49856060,86188
05-18 19:32:30,0,16384,49856080,87468
05-18 19:32:31,0,16384,49855696,88748
05-18 19:32:32,0,16384,49848892,89772
05-18 19:32:33,0,16384,49848452,90796
05-18 19:32:34,0,16384,49847864,92076
05-18 19:32:35,0,16384,49848832,92620
05-18 19:32:36,0,16384,49849528,93644
05-18 19:32:37,0,16384,49850332,94668
05-18 19:32:38,0,16384,49848016,95692
05-18 19:32:39,0,16384,49848756,96716
05-18 19:32:40,0,16384,49841680,97484
05-18 19:32:41,0,16384,49841156,98508
05-18 19:32:42,0,16384,49841700,99532
05-18 19:32:43,0,16384,49842388,100300
05-18 19:32:44,0,16384,49842528,101324
05-18 19:32:45,0,16384,49843868,102092
05-18 19:32:46,0,16384,49843884,103116
05-18 19:32:47,0,16384,49843132,104140
05-18 19:32:48,0,16384,49831800,104908
05-18 19:32:49,0,16384,49831316,105932
05-18 19:32:50,0,16384,49831664,106700
05-18 19:32:51,0,16384,49832768,107724
05-18 19:32:52,0,16384,49832108,108748
05-18 19:32:53,0,16384,49830392,109772
05-18 19:32:54,0,16384,49831400,110540
05-18 19:32:55,0,16384,49831268,111564
05-18 19:32:56,0,16384,49830104,112588
05-18 19:32:57,0,16384,49821788,113612
05-18 19:32:58,0,16384,49822916,114636
05-18 19:32:59,0,16384,49823800,115660
05-18 19:33:00,0,16384,49824304,116940
05-18 19:33:01,0,16384,49824352,118220
05-18 19:33:02,0,16384,49825680,119500
05-18 19:33:03,0,16384,49824236,120780
05-18 19:33:04,0,16384,49815476,122060
05-18 19:33:05,0,16384,49814972,123340
05-18 19:33:06,0,16384,49816172,124876
05-18 19:33:07,0,16384,49816348,126412
05-18 19:33:08,0,16384,49821788,127948
05-18 19:33:09,0,16384,49814572,129740
05-18 19:33:10,0,16384,49814572,131276
05-18 19:33:11,0,16384,49813280,133068
05-18 19:33:12,0,16384,49814172,134860
05-18 19:33:13,0,16384,49803572,137676
05-18 19:33:14,0,16384,49803500,142540
05-18 19:33:15,0,16384,49795404,148172
05-18 19:33:16,1,16384,49928840,17152
05-18 19:33:17,1,16384,49886756,58320
05-18 19:33:18,1,16384,49887640,63440
05-18 19:33:19,1,16384,49879576,68048
05-18 19:33:20,1,16384,49880080,70352
05-18 19:33:22,1,16384,49879592,72144
05-18 19:33:23,1,16384,49871400,73680
05-18 19:33:24,1,16384,49870664,75472
05-18 19:33:25,1,16384,49871476,77008
05-18 19:33:26,1,16384,49874088,78544
05-18 19:33:27,1,16384,49874424,80080
05-18 19:33:28,1,16384,49866876,81616
05-18 19:33:29,1,16384,49859332,82896
05-18 19:33:30,1,16384,49860088,85456
05-18 19:33:31,1,16384,49859936,86992
05-18 19:33:32,1,16384,49865332,87672
05-18 19:33:33,1,16384,49865868,88952
05-18 19:33:34,1,16384,49858176,89976
05-18 19:33:35,1,16384,49858932,91000
05-18 19:33:36,1,16384,49857672,92024
05-18 19:33:37,1,16384,49858932,93048
05-18 19:33:38,1,16384,49860880,94072
05-18 19:33:39,1,16384,49860836,95096
05-18 19:33:40,1,16384,49861484,96120
05-18 19:33:41,1,16384,49862456,97144
05-18 19:33:42,1,16384,49857292,97912
05-18 19:33:43,1,16384,49858952,98936
05-18 19:33:44,1,16384,49859516,99960
05-18 19:33:45,1,16384,49859772,100728
05-18 19:33:46,1,16384,49860480,101752
05-18 19:33:47,1,16384,49858276,102520
05-18 19:33:48,1,16384,49858888,103544
05-18 19:33:49,1,16384,49856900,104568
05-18 19:33:50,1,16384,49848836,105336
05-18 19:33:51,1,16384,49848336,106360
05-18 19:33:52,1,16384,49847580,107128
05-18 19:33:53,1,16384,49847956,108152
05-18 19:33:54,1,16384,49846608,109176
05-18 19:33:55,1,16384,49846360,110200
05-18 19:33:56,1,16384,49845856,110968
05-18 19:33:57,1,16384,49846108,111992
05-18 19:33:58,1,16384,49846664,113016
05-18 19:33:59,1,16384,49836000,114040
05-18 19:34:00,1,16384,49835832,115064
05-18 19:34:01,1,16384,49836336,116088
05-18 19:34:02,1,16384,49837968,117368
05-18 19:34:03,1,16384,49837592,118392
05-18 19:34:04,1,16384,49838456,119672
05-18 19:34:05,1,16384,49838316,120952
05-18 19:34:06,1,16384,49830020,122232
05-18 19:34:07,1,16384,49830272,123768
05-18 19:34:08,1,16384,49830528,125304
05-18 19:34:09,1,16384,49829708,126840
05-18 19:34:10,1,16384,49830212,128376
05-18 19:34:11,1,16384,49822156,129912
05-18 19:34:12,1,16384,49822372,131704
05-18 19:34:13,1,16384,49823128,133240
05-18 19:34:14,1,16384,49824592,135288
05-18 19:34:15,1,16384,49817252,137848
05-18 19:34:16,1,16384,49817252,142456
05-18 19:34:17,1,16384,49809044,147576
05-18 19:34:18,2,16384,49942600,13312
05-18 19:34:19,2,16384,49890192,58112
05-18 19:34:20,2,16384,49889184,62976
05-18 19:34:21,2,16384,49880136,67328
05-18 19:34:22,2,16384,49880388,69888
