InputSize,Threads,task_clock_msec,context_switches,cpu_migrations,page_faults,cycles,instructions,branches,branch_misses,time_elapsed_sec,user_time_sec,sys_time_sec
3000,64,21770.73,21547,1480,27848,42897792896,12286111989,851650424,31243568,0.937844487,21.235161,0.520077
3000,128,23317.23,21024,1588,30593,45859469799,12134686505,827140981,31209143,1.056407488,22.836183,0.468233
3000,128,26834.54,20158,1951,34697,52717229797,12933927295,981836324,36015204,1.210204771,26.324507,0.499185
3000,128,30378.9,27631,1680,30834,59722514953,12684403555,937350708,32526306,1.342317215,29.870981,0.498402
3000,128,26697.59,21490,1705,30403,52714344193,12717637339,935592437,32523259,1.147879823,26.144596,0.539456
3000,128,30039.65,47884,1688,32094,59160842503,13383265395,1022154580,34222078,1.269312911,29.379059,0.647342
4000,1,16306.31,161371,54,35949,24296495011,18718400051,914017683,49231882,10.483142405,13.115295,3.449997
4000,1,16074.58,160959,52,34242,23989847022,19241483701,932354597,50983426,10.28419857,12.934782,3.406598
4000,1,15809.06,161212,39,34002,23897330085,19191521350,922709211,50013939,10.231292246,12.783204,3.276402
4000,1,15705.04,161419,61,36795,24147708396,19389145448,961431472,51343925,10.304738187,12.832994,3.114338
4000,1,16351.17,161114,28,36170,24322186084,19181756377,920384762,47831030,10.456429464,13.138437,3.519498
4000,2,13798.55,83005,29,32768,23553705259,17593366030,719520718,41546184,5.477296844,12.382099,1.553105
4000,2,13388.07,81459,31,33437,22466943816,18233084503,753816340,39409151,5.210649651,11.745684,1.771496
4000,2,14573.21,81061,29,32138,23857583792,17802058035,760410976,47954666,5.532878203,12.818024,1.901886
4000,2,14411.4,81024,44,32778,23842649433,17843518555,768417595,47163298,5.510385662,12.686756,1.864449
4000,2,14536.7,81141,39,32441,23973509503,17761542420,753192088,45973366,5.552860557,12.848609,1.826979
4000,4,14064.19,41212,28,32134,24573275695,17510608042,710173417,48503578,3.057796103,13.09694,1.040462
4000,4,13969.04,41265,50,32208,24173664623,18082280897,731817246,51169348,3.008763108,12.982911,1.061844
4000,4,13771.66,44202,42,32695,24238470877,18151863939,744918392,51893024,3.020380366,12.832339,1.011569
4000,4,13950.07,41353,34,32144,24356713661,17488838031,707326263,47497197,3.024974472,12.966849,1.056319
4000,4,13986.13,42131,29,32925,24388293530,17655865309,739555607,49571617,3.031301248,13.038896,1.017483
4000,8,15431.9,23725,26,31405,27907345319,17663599163,742816296,54461952,1.875064449,14.782123,0.692504
4000,8,15031.1,23594,43,31093,27451206778,17772756441,762954612,56139623,1.864945814,14.395937,0.674747
4000,8,15133.27,24897,37,31225,27395881889,17793628356,764840268,57326761,1.847910048,14.541591,0.631719
4000,8,14361.98,25613,48,31194,26312132161,17586959206,727691741,47108433,1.78240361,13.737927,0.663085
4000,8,14991.21,28949,34,31726,27436503143,18209195923,757531135,54730899,1.840663338,14.444876,0.583044
4000,16,16391.63,28506,56,30057,31638282848,18145932881,743703408,34427530,1.172914135,15.905334,0.515539
4000,16,15966.26,30496,57,28757,30549888358,17607336936,728959189,35474982,1.130806265,15.497985,0.499097
4000,16,16005.22,29622,67,29787,30438741214,17748214106,757518589,37565103,1.15114099,15.507332,0.535398
4000,16,15899.72,26312,76,27774,30469171522,17941010806,703085531,36553504,1.149276006,15.437946,0.490506
4000,16,16587.02,28438,58,29333,31844877479,18089790915,732656215,35440956,1.182708356,16.108647,0.511752
4000,32,23310.37,17984,991,28728,45956097939,18013675818,802733475,28506996,0.975967614,22.892693,0.406396
4000,32,22888.92,17606,764,28291,45217328311,17837403811,772399785,27221822,0.968553362,22.474101,0.400804
4000,32,24164.4,15206,903,29691,47735335019,18826306013,875424236,30677908,1.015136835,23.785965,0.365063
4000,32,25884.78,18216,886,29642,51189177112,18297789849,858525107,28891295,1.061814158,25.482738,0.388912
4000,32,21545.71,17051,866,29689,42383075739,18206361971,843208788,29831336,0.924978484,21.080611,0.452958
4000,64,23938.43,17766,1436,29763,47189521765,18003376613,800760485,26629999,1.000519475,23.506503,0.417575
4000,64,27006.23,21198,1720,31321,53417391666,18490503381,896040335,30314126,1.103568073,26.580307,0.412734
4000,64,29798.44,19765,1569,32688,58982730205,19691117967,1043566764,32667972,1.186247978,29.354568,0.425763
4000,64,28547.37,18613,1392,35264,56484465769,19149775047,1024097026,33503264,1.147888165,28.108933,0.423943
4000,64,29258.79,24628,1702,32656,57918726841,18924384901,975593644,31555470,1.175081402,28.750315,0.492976
4000,128,33217.12,68793,1927,34878,65741303060,19972479336,1171604029,34546822,1.358497345,32.365072,0.835053
4000,128,38694.32,38649,1742,35835,76292454231,19720869453,1120956083,34961028,1.620776809,38.027551,0.659818
4000,128,29162.68,25102,1629,33560,57223488286,18841164896,957362918,30436769,1.282400127,28.724389,0.426495
4000,128,26600.66,19590,1811,34347,52621723994,18789439097,947450772,31330469,1.120145994,26.143222,0.442155
4000,128,35385.77,35756,1768,36479,70088840955,20571774212,1273843842,34824008,1.378224759,34.895458,0.470829
5000,1,22010.91,201540,54,41814,34781528602,28176587871,1104016251,50172407,15.392767539,18.164548,4.169582
5000,1,22534.6,201345,44,44006,34981744102,28296560587,1128565853,53513234,15.485507947,18.609823,4.273329
5000,1,21899.26,201572,34,40914,34789584000,28184868953,1107679873,51990009,15.436747683,18.201157,4.006716
5000,1,22837.0,201611,41,41621,35791750107,27492450607,1112842341,52041496,15.971815769,18.882948,4.299875
5000,1,22809.32,201442,51,42634,35769354230,27474836278,1110573999,51430749,15.965625008,18.79855,4.34779
5000,2,19946.46,111236,37,38671,34956202911,26627232651,962792264,52153877,8.146601812,18.143423,1.975764
5000,2,19795.49,101549,29,37539,33834935729,27150591598,927250968,49442344,7.937757684,17.790589,2.177053
5000,2,20344.75,102075,44,37583,34803764740,26248326363,894621763,45398635,8.204012083,18.256473,2.271735
5000,2,20416.59,101802,19,37405,34748263591,26303560090,904793809,46718008,8.188016106,18.31499,2.296089
5000,2,20333.28,101621,25,38183,34788877361,26344152084,912780637,47074888,8.170720235,18.21899,2.302289
5000,4,19324.98,53222,22,36930,34723302200,26022443422,857671413,50062954,4.328760687,18.141868,1.267936
5000,4,18689.22,52544,31,35777,33782723406,26694635100,847319155,48199808,4.18700192,17.520571,1.263333
5000,4,19790.8,52211,33,36247,35485987626,26146666017,884050277,52922859,4.394537294,18.586517,1.301568
5000,4,19656.05,53046,32,35468,35359590281,26134197095,879240206,53977971,4.394159999,18.498698,1.263497
5000,4,19101.04,52194,30,35739,34265785937,26861382204,878923371,53553762,4.245465961,17.936635,1.253922
5000,8,20493.05,32604,41,35896,37825092468,25985921052,851797105,54932550,2.523955701,19.740424,0.807681
5000,8,19902.6,31171,61,36574,36993902100,25892976729,836257112,46984123,2.486641727,19.171575,0.78699
5000,8,20863.5,30631,48,36120,38420900348,25861065849,828583119,53603592,2.558156585,20.091392,0.828231
5000,8,19283.62,34336,38,36866,36045176791,26651428751,840183659,48847720,2.403549496,18.551198,0.78764
5000,8,20660.95,30980,43,36241,38092082454,26046605040,862009990,57568171,2.548519042,19.879053,0.840369
5000,16,21696.0,37942,94,36390,41720522515,26828117210,871671618,35369450,1.509805426,21.044507,0.691542
