4000,2,MiB Mem :  15690.9 total,   6263.4 free,   7292.5 used,   3113.6 buff/cache     
4000,2,MiB Mem :  15690.9 total,   6276.2 free,   7279.5 used,   3113.7 buff/cache     
4000,2,MiB Mem :  15690.9 total,   6260.8 free,   7295.0 used,   3113.6 buff/cache     
4000,2,MiB Mem :  15690.9 total,   6271.9 free,   7283.9 used,   3113.7 buff/cache     
4000,2,MiB Mem :  15690.9 total,   6258.2 free,   7297.7 used,   3113.6 buff/cache     
4000,4,MiB Mem :  15690.9 total,   6257.3 free,   7298.6 used,   3113.4 buff/cache     
4000,4,MiB Mem :  15690.9 total,   6271.5 free,   7284.4 used,   3113.5 buff/cache     
4000,4,MiB Mem :  15690.9 total,   6258.6 free,   7297.2 used,   3113.5 buff/cache     
4000,4,MiB Mem :  15690.9 total,   6247.7 free,   7308.2 used,   3113.5 buff/cache     
4000,4,MiB Mem :  15690.9 total,   6263.9 free,   7292.2 used,   3113.3 buff/cache     
4000,8,MiB Mem :  15690.9 total,   6259.2 free,   7296.8 used,   3113.2 buff/cache     
4000,8,MiB Mem :  15690.9 total,   6235.6 free,   7320.2 used,   3113.4 buff/cache     
4000,8,MiB Mem :  15690.9 total,   6233.6 free,   7322.4 used,   3113.3 buff/cache     
4000,8,MiB Mem :  15690.9 total,   6229.8 free,   7326.2 used,   3113.3 buff/cache     
4000,8,MiB Mem :  15690.9 total,   6221.6 free,   7334.2 used,   3113.5 buff/cache     
4000,16,MiB Mem :  15690.9 total,   6234.4 free,   7321.6 used,   3113.3 buff/cache     
4000,16,MiB Mem :  15690.9 total,   6230.9 free,   7324.9 used,   3114.2 buff/cache     
4000,16,MiB Mem :  15690.9 total,   6230.6 free,   7325.2 used,   3114.2 buff/cache     
4000,16,MiB Mem :  15690.9 total,   6230.3 free,   7325.6 used,   3114.1 buff/cache     
4000,16,MiB Mem :  15690.9 total,   6244.4 free,   7311.5 used,   3114.1 buff/cache     
4000,32,MiB Mem :  15690.9 total,   6245.6 free,   7310.3 used,   3113.9 buff/cache     
4000,32,MiB Mem :  15690.9 total,   6240.4 free,   7315.4 used,   3114.1 buff/cache     
4000,32,MiB Mem :  15690.9 total,   6217.7 free,   7338.0 used,   3114.1 buff/cache     
4000,32,MiB Mem :  15690.9 total,   6212.9 free,   7342.7 used,   3113.4 buff/cache     
4000,32,MiB Mem :  15690.9 total,   6227.8 free,   7328.0 used,   3113.4 buff/cache     
5000,1,MiB Mem :  15690.9 total,   6233.3 free,   7322.5 used,   3111.7 buff/cache     
5000,1,MiB Mem :  15690.9 total,   6241.8 free,   7314.1 used,   3111.9 buff/cache     
5000,1,MiB Mem :  15690.9 total,   6244.5 free,   7311.3 used,   3111.9 buff/cache     
5000,1,MiB Mem :  15690.9 total,   6240.4 free,   7315.3 used,   3119.4 buff/cache     
5000,1,MiB Mem :  15690.9 total,   6225.8 free,   7330.0 used,   3117.4 buff/cache     
5000,2,MiB Mem :  15690.9 total,   6242.6 free,   7313.1 used,   3111.2 buff/cache     
5000,2,MiB Mem :  15690.9 total,   6235.8 free,   7320.0 used,   3111.2 buff/cache     
5000,2,MiB Mem :  15690.9 total,   6217.0 free,   7338.6 used,   3113.3 buff/cache     
5000,2,MiB Mem :  15690.9 total,   6215.1 free,   7340.5 used,   3113.4 buff/cache     
5000,2,MiB Mem :  15690.9 total,   6236.1 free,   7319.4 used,   3111.6 buff/cache     
5000,4,MiB Mem :  15690.9 total,   6235.0 free,   7320.5 used,   3111.3 buff/cache     
5000,4,MiB Mem :  15690.9 total,   6225.6 free,   7329.9 used,   3111.4 buff/cache     
5000,4,MiB Mem :  15690.9 total,   6244.5 free,   7311.0 used,   3109.4 buff/cache     
5000,4,MiB Mem :  15690.9 total,   6245.8 free,   7309.5 used,   3109.6 buff/cache     
5000,4,MiB Mem :  15690.9 total,   6230.0 free,   7325.4 used,   3111.5 buff/cache     
